Tag,Count
"('turn:lanes', 'left|left;through|through')",8
"('button_operated', 'yes')",8
"('name', 'Jurong East Central')",7
"('name', 'Jurong Park Connector')",7
"('surface', 'cobblestone')",7
"('name', 'Hemsley Avenue')",7
"('building:levels', '7')",7
"('building', 'garage')",7
"('name', 'Tiup Tiup Path')",7
"('name', 'Malta Crescent')",7
"('name:zh', '裕廊公园连道')",7
"('turn:lanes', 'left;right|right')",7
"('ramp:bicycle', 'yes')",7
"('foot', 'use_sidepath')",7
"('note', 'Part of route estimated ???')",7
"('informal', 'yes')",7
"('natural', 'peak')",7
"('turn:lanes', 'left|left;through|through|through|right')",7
"('turn:lanes', 'left|left;through|through|through|through')",7
"('name', 'Fajar Road')",7
"('turn:lanes:backward', 'left;through|right')",7
"('name', 'pipeline track')",7
"('surface', 'turf')",7
"('name:zh', '丹戒禺人行桥')",7
"('name', 'Central Expressway Underpass')",7
"('turn:lanes:forward', 'left;right|right')",7
"('maxheight', '2.4')",7
"('access', 'customers')",7
"('name', 'Phoenix Road')",7
"('name', 'Lorong 7 Toa Payoh')",7
"('name:en', 'Sungei Kadut Avenue')",7
"('name:zh', '双溪加株道')",7
"('name', 'Marymount Terrace')",7
"('name:zh', '金鞋区')",7
"('name', 'Golden Shoe')",7
"('landuse', 'commercial')",7
"('name', 'Cheang Wan Seng Place')",7
"('destination:ref', 'PIE')",7
"('name', 'Tanjong Rhu Footbridge')",7
"('turn:lanes', 'right|right|right')",7
"('traffic_signals:arrow', 'yes')",7
"('name', 'Woodlands Street 32')",7
"('sidewalk:right:surface', 'paving_stones')",7
"('surface', 'grass_paver')",7
"('name:zh', '樟宜路')",7
"('name', 'Bukit Timah Road')",7
"('name:zh', '武吉知马路')",7
